2024-09-26 12:24:33,376 INFO    MainThread:1180 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_setup.py:_flush():77] Configure stats pid to 1180
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_setup.py:_flush():77] Loading settings from /Users/dhruvpithadia/.config/wandb/settings
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_setup.py:_flush():77] Loading settings from /Users/dhruvpithadia/Desktop/NMIMS/SEM5/Deep_Learning/wandb/settings
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_init.py:_log_setup():532] Logging user logs to /Users/dhruvpithadia/Desktop/NMIMS/SEM5/Deep_Learning/wandb/run-20240926_122433-c6v50hs8/logs/debug.log
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/dhruvpithadia/Desktop/NMIMS/SEM5/Deep_Learning/wandb/run-20240926_122433-c6v50hs8/logs/debug-internal.log
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_init.py:_jupyter_setup():478] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x118d32bd0>
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_init.py:init():616] calling init triggers
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'layer_1': 512, 'activation_1': 'relu', 'dropout': 0.26241150201925423, 'layer_2': 10, 'activation_2': 'softmax', 'optimizer': 'sgd', 'loss': 'sparse_categorical_crossentropy', 'metric': 'accuracy', 'epoch': 6, 'batch_size': 256}
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_init.py:init():666] starting backend
2024-09-26 12:24:33,377 INFO    MainThread:1180 [wandb_init.py:init():670] setting up manager
2024-09-26 12:24:33,379 INFO    MainThread:1180 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-09-26 12:24:33,379 INFO    MainThread:1180 [wandb_init.py:init():678] backend started and connected
2024-09-26 12:24:33,383 INFO    MainThread:1180 [wandb_run.py:_label_probe_notebook():1340] probe notebook
2024-09-26 12:24:33,383 INFO    MainThread:1180 [wandb_init.py:init():773] updated telemetry
2024-09-26 12:24:33,403 INFO    MainThread:1180 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-26 12:25:06,219 INFO    MainThread:1180 [wandb_init.py:init():857] starting run threads in backend
2024-09-26 12:25:06,330 INFO    MainThread:1180 [wandb_run.py:_console_start():2459] atexit reg
2024-09-26 12:25:06,330 INFO    MainThread:1180 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-26 12:25:06,330 INFO    MainThread:1180 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-26 12:25:06,330 INFO    MainThread:1180 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-26 12:25:06,330 INFO    MainThread:1180 [wandb_init.py:init():900] run started, returning control to user process
2024-09-26 12:26:31,354 INFO    MainThread:1180 [wandb_run.py:_finish():2158] finishing run eclipsetheassistant-svkm-s-narsee-monjee-institute-of-ma/wandb-keras-mnist/c6v50hs8
2024-09-26 12:26:31,355 ERROR   MainThread:1180 [jupyter.py:save_history():451] Run pip install nbformat to save notebook history
2024-09-26 12:26:31,356 INFO    MainThread:1180 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-09-26 12:26:31,356 INFO    MainThread:1180 [wandb_init.py:_jupyter_teardown():460] cleaning up jupyter logic
2024-09-26 12:26:31,356 INFO    MainThread:1180 [wandb_run.py:_atexit_cleanup():2422] got exitcode: 0
2024-09-26 12:26:31,356 INFO    MainThread:1180 [wandb_run.py:_restore():2404] restore
2024-09-26 12:26:31,356 INFO    MainThread:1180 [wandb_run.py:_restore():2410] restore done
2024-09-26 12:29:02,022 INFO    MainThread:1180 [wandb_run.py:_footer_history_summary_info():4037] rendering history
2024-09-26 12:29:02,024 INFO    MainThread:1180 [wandb_run.py:_footer_history_summary_info():4069] rendering summary
2024-09-26 12:29:02,036 INFO    MainThread:1180 [wandb_run.py:_footer_sync_info():3996] logging synced files
